评论,bv
现在jsvmp ，wasm， 各种环境检测，验证码，混淆层出不穷，想走爬虫必须得有足够的兴趣，不断学习的心态[委屈],BV1TC1jYmEve
"整理制作不易，大家记得点个关注，一键三连呀【点赞、收藏、转发】感谢支持~ 
配套课件/代码笔记/学习交流：https://www.bilibili.com/read/cv36795777",BV1TC1jYmEve
现在做爬虫基本上就是在搞逆向了，什么验证码，混淆，加密，b站很多视频早就过时了，还得看何老师教程,BV1TC1jYmEve
现在大三，正在自学爬虫，学到AST，大数据专业,BV1TC1jYmEve
老师这是最新的吗，有些网站时间久了加密改过了，跟着视频做都出不来，很打击自信心,BV1TC1jYmEve
老师 能请教一个scrapy的一个问题吗 我在pipline请求那个二级返回的jpgurl，它最终只会到下载器吧，然后下载存储报错了,BV1TC1jYmEve
"我的问题解决了，检查一下pyexecjs版本
pip install pyexecjs2
从新安装2代就好了",BV1TC1jYmEve
"不报培训班免费跟老何学逆向js也能行...[滑稽],成功拿下.",BV1TC1jYmEve
"有酷狗音乐,cb生成.js的文件吗，问了助理老师说没有",BV1TC1jYmEve
学完可以破解VIP吗？,BV1TC1jYmEve
把这个JS代码导入到python代码里要引入哪个函数啊,BV1TC1jYmEve
何老师，现在是不是已经出现针对selenium的检测了，我用selenium库尝试去爬携程旅行的评论数据，他给我返回空数据[笑哭][笑哭]感觉好无奈,BV1TC1jYmEve
"[doge]老师啊，我的为什么显示
AttributeError: 'NoneType' object has no attribute 'replace'
很难受[笑哭]",BV1TC1jYmEve
我也是接单，最麻烦的不是做事而是跟各种各样的人交流，不过总体而言对自己表达能力还是有帮助的，唉,BV1TC1jYmEve
老师，28集的get_token方法是怎么弄的啊？那个接口的参数不用sign吗？,BV1TC1jYmEve
"老师
请问那个生成爬虫代码的网址在哪里，如何获取？",BV1TC1jYmEve
老师，有Java基础能学吗，还是必须要学过Python,BV1TC1jYmEve
我们计算机老师说过：你们将来无论干什么都别说我是你们老师，你们要是丢脸我不想丢脸，你们要是用计算机犯罪更不要提我，你们如果出名了，不用你们，我几个人就能说你是我学生我当时就一个想法，就你这强者的发型，你能记住我们名字吗,BV1TC1jYmEve
老师你好，我想问一下视频里面的token是怎么处理的,BV1TC1jYmEve
现在jsvmp ，wasm， 各种环境检测，验证码，混淆层出不穷，想走爬虫必须得有足够的兴趣，不断学习的心态[委屈],BV1TC1jYmEve
"整理制作不易，大家记得点个关注，一键三连呀【点赞、收藏、转发】感谢支持~ 
配套课件/代码笔记/学习交流：https://www.bilibili.com/read/cv36795777",BV1TC1jYmEve
现在做爬虫基本上就是在搞逆向了，什么验证码，混淆，加密，b站很多视频早就过时了，还得看何老师教程,BV1TC1jYmEve
现在大三，正在自学爬虫，学到AST，大数据专业,BV1TC1jYmEve
老师这是最新的吗，有些网站时间久了加密改过了，跟着视频做都出不来，很打击自信心,BV1TC1jYmEve
老师 能请教一个scrapy的一个问题吗 我在pipline请求那个二级返回的jpgurl，它最终只会到下载器吧，然后下载存储报错了,BV1TC1jYmEve
"我的问题解决了，检查一下pyexecjs版本
pip install pyexecjs2
从新安装2代就好了",BV1TC1jYmEve
"不报培训班免费跟老何学逆向js也能行...[滑稽],成功拿下.",BV1TC1jYmEve
"有酷狗音乐,cb生成.js的文件吗，问了助理老师说没有",BV1TC1jYmEve
学完可以破解VIP吗？,BV1TC1jYmEve
把这个JS代码导入到python代码里要引入哪个函数啊,BV1TC1jYmEve
何老师，现在是不是已经出现针对selenium的检测了，我用selenium库尝试去爬携程旅行的评论数据，他给我返回空数据[笑哭][笑哭]感觉好无奈,BV1TC1jYmEve
"[doge]老师啊，我的为什么显示
AttributeError: 'NoneType' object has no attribute 'replace'
很难受[笑哭]",BV1TC1jYmEve
我也是接单，最麻烦的不是做事而是跟各种各样的人交流，不过总体而言对自己表达能力还是有帮助的，唉,BV1TC1jYmEve
