release_year,apps_released,games_released,dlc_released,free_apps,avg_price_usd
1997.0,2,2,0,1,9.99
1998.0,1,1,0,0,9.99
1999.0,2,2,0,0,4.99
2000.0,2,2,0,0,7.49
2001.0,4,4,0,0,12.49
2002.0,1,1,0,0,4.94
2003.0,3,3,0,0,9.41
2004.0,6,5,0,1,9.99
2005.0,8,7,0,1,11.66
2006.0,73,63,0,8,8.78
2007.0,124,84,0,28,7.69
2008.0,237,151,4,59,9.66
2009.0,479,307,39,102,9.89
2010.0,397,240,86,62,8.26
2011.0,529,252,213,75,7.47
2012.0,855,320,436,112,7.33
2013.0,1138,464,601,98,11.53
2014.0,2687,1515,951,265,159.39
2015.0,4568,2502,1626,551,995.29
2016.0,8660,4141,2752,1232,257.59
2017.0,11275,5926,3403,1640,85.96
2018.0,13102,7438,4244,2023,269.68
2019.0,12742,7254,4530,2108,53.59
2020.0,15728,8791,4539,3182,146.01
2021.0,20083,11066,6389,3620,47.91
2022.0,21103,12311,5571,4674,36.92
2023.0,24567,14664,5684,5862,145.81
2024.0,33780,20203,6559,9431,548.37
2025.0,30446,17876,5098,8906,123.7
