genre_name,release_year,game_count,avg_price,free_count
Strategy,2006.0,25,8.66,0
Casual,2006.0,19,5.2,1
Action,2006.0,18,11.69,0
Indie,2006.0,10,10.3,1
Action,2007.0,47,8.28,1
Strategy,2007.0,23,7.17,0
Casual,2007.0,10,4.49,1
Action,2008.0,57,10.36,2
Casual,2008.0,40,10.33,1
Strategy,2008.0,34,10.77,1
Adventure,2008.0,26,12.13,1
Indie,2008.0,26,8.9,1
Simulation,2008.0,20,12.88,0
RPG,2008.0,15,16.05,0
Racing,2008.0,10,9.66,1
Action,2009.0,108,11.13,4
Adventure,2009.0,71,12.33,1
Strategy,2009.0,66,8.87,1
Indie,2009.0,62,7.84,5
Casual,2009.0,58,9.76,2
Simulation,2009.0,53,9.22,1
RPG,2009.0,44,11.67,1
Racing,2009.0,10,9.1,0
Action,2010.0,83,9.94,5
Casual,2010.0,71,6.7,0
Indie,2010.0,66,7.36,4
Strategy,2010.0,62,10.08,2
Adventure,2010.0,49,9.29,2
RPG,2010.0,33,10.81,2
Simulation,2010.0,27,9.63,1
Action,2011.0,111,9.95,9
Indie,2011.0,104,7.78,5
Strategy,2011.0,80,8.93,2
Adventure,2011.0,63,9.86,5
Casual,2011.0,46,6.56,3
RPG,2011.0,40,10.08,6
Simulation,2011.0,27,9.66,1
Free To Play,2011.0,11,,11
Racing,2011.0,10,8.88,0
Massively Multiplayer,2011.0,10,2.99,9
Indie,2012.0,166,8.33,7
Action,2012.0,165,10.22,13
Adventure,2012.0,107,9.33,7
Strategy,2012.0,76,10.57,5
RPG,2012.0,62,11.01,13
Casual,2012.0,55,7.52,4
Simulation,2012.0,37,11.5,2
Free To Play,2012.0,19,,17
Massively Multiplayer,2012.0,14,,13
Racing,2012.0,11,9.26,0
Indie,2013.0,258,8.97,9
Action,2013.0,228,11.92,16
Adventure,2013.0,170,11.01,7
Strategy,2013.0,115,10.62,4
RPG,2013.0,87,10.27,13
Casual,2013.0,86,7.51,1
Simulation,2013.0,76,11.69,7
Free To Play,2013.0,24,,23
Racing,2013.0,19,12.88,1
Massively Multiplayer,2013.0,15,3.96,12
Sports,2013.0,14,12.74,1
Indie,2014.0,871,8.18,72
Action,2014.0,626,606.39,46
Adventure,2014.0,576,622.07,25
Casual,2014.0,412,7.2,32
Strategy,2014.0,335,10.93,24
RPG,2014.0,271,10.47,19
Simulation,2014.0,229,11.86,12
Free To Play,2014.0,64,29.99,59
Racing,2014.0,58,7.91,3
Sports,2014.0,48,7.86,3
Early Access,2014.0,43,11.01,6
Massively Multiplayer,2014.0,21,13.16,14
Utilities,2014.0,19,30.92,4
Design & Illustration,2014.0,14,28.9,2
Indie,2015.0,1828,954.65,146
Action,2015.0,1084,1678.9,91
Adventure,2015.0,978,381.17,62
Casual,2015.0,753,1069.59,66
Strategy,2015.0,559,1261.44,43
RPG,2015.0,481,1197.35,37
Simulation,2015.0,439,1728.11,30
Free To Play,2015.0,145,8.99,130
Early Access,2015.0,134,1617.53,12
Sports,2015.0,93,1789.99,5
Racing,2015.0,84,1245.05,6
Massively Multiplayer,2015.0,49,12.91,29
Utilities,2015.0,27,32.47,5
Software Training,2015.0,26,15.6,2
Design & Illustration,2015.0,20,17.54,5
Education,2015.0,14,15.6,2
Animation & Modeling,2015.0,14,31.55,4
Indie,2016.0,2918,287.65,296
Action,2016.0,1802,412.49,154
Casual,2016.0,1560,6.72,170
Adventure,2016.0,1522,497.15,153
Simulation,2016.0,791,639.88,93
Strategy,2016.0,749,585.05,78
RPG,2016.0,581,1105.75,74
Early Access,2016.0,344,9.95,51
Free To Play,2016.0,272,4.49,254
Sports,2016.0,224,887.32,24
Racing,2016.0,137,86.71,12
Massively Multiplayer,2016.0,90,9.16,41
Utilities,2016.0,56,14.12,16
Violent,2016.0,49,12.17,7
Design & Illustration,2016.0,43,26.6,7
Education,2016.0,32,14.3,8
Gore,2016.0,31,14.3,4
Animation & Modeling,2016.0,29,34.31,5
Audio Production,2016.0,19,20.32,1
Video Production,2016.0,18,47.9,3
Software Training,2016.0,16,11.52,4
Nudity,2016.0,11,6.61,1
Photo Editing,2016.0,10,17.99,0
Indie,2017.0,4223,67.86,457
Action,2017.0,2618,125.28,288
Casual,2017.0,2372,6.47,252
Adventure,2017.0,2270,31.35,216
Simulation,2017.0,1123,10.53,143
Strategy,2017.0,1089,9.78,128
RPG,2017.0,831,17.86,121
Early Access,2017.0,539,9.83,89
Free To Play,2017.0,401,4.24,374
Sports,2017.0,320,10.16,32
Violent,2017.0,220,6.11,11
Racing,2017.0,209,11.33,19
Massively Multiplayer,2017.0,150,27.31,71
Gore,2017.0,133,5.95,6
Utilities,2017.0,81,21.34,25
Design & Illustration,2017.0,68,32.42,24
Education,2017.0,57,18.98,15
Nudity,2017.0,51,5.95,2
Animation & Modeling,2017.0,47,23.04,21
Video Production,2017.0,44,17.52,12
Sexual Content,2017.0,42,5.86,2
Audio Production,2017.0,25,33.96,3
Software Training,2017.0,18,18.26,3
Photo Editing,2017.0,18,22.49,2
Web Publishing,2017.0,11,23.32,2
Indie,2018.0,5735,122.58,689
Casual,2018.0,3348,45.68,378
Action,2018.0,3140,539.11,383
Adventure,2018.0,2775,498.81,288
Simulation,2018.0,1494,12.42,186
Strategy,2018.0,1350,239.93,176
RPG,2018.0,1167,261.32,142
Early Access,2018.0,681,12.29,102
Free To Play,2018.0,556,1.89,513
Sports,2018.0,397,15.33,43
Racing,2018.0,274,18.18,25
Massively Multiplayer,2018.0,189,1825.3,82
Violent,2018.0,145,8.44,22
Gore,2018.0,92,9.37,15
Utilities,2018.0,84,9.63,23
Design & Illustration,2018.0,46,25.96,5
Animation & Modeling,2018.0,42,19.13,9
Education,2018.0,40,15.39,18
Sexual Content,2018.0,38,7.3,5
Nudity,2018.0,32,5.67,4
Video Production,2018.0,32,29.92,13
Audio Production,2018.0,21,24.51,4
Software Training,2018.0,16,12.13,7
Game Development,2018.0,15,32.27,2
Photo Editing,2018.0,10,14.69,1
