publisher_name,total_apps,game_count,dlc_count,avg_price,avg_achievements
KOMODO,2375,109,2213,16.32,44.8
TigerQiuQiu,2318,39,2279,2.99,11.4
"KOEI TECMO GAMES CO., LTD.",1485,111,1365,356.8,47.6
N3V Games,918,10,908,15.98,32.0
"CAPCOM Co., Ltd.",829,46,752,5.42,45.5
SEGA,678,147,489,640.06,58.3
Dovetail Games - Trains,652,6,646,20.36,1384.0
Gotcha Gotcha Games,644,56,579,10.13,14.8
Paradox Interactive,603,79,520,1305.6,73.2
Big Fish Games,545,540,5,10.66,28.5
Square Enix,535,153,289,1461.95,45.9
PlayWay S.A.,524,334,108,497.12,35.4
XSEED Games,472,71,388,8.42,35.5
THQ Nordic,461,163,249,14.75,41.3
"Marvelous USA, Inc.",455,63,381,8.24,35.9
Dovetail Games - TSW,454,6,448,11382.11,240.6
Clouded Leopard Entertainment,429,20,406,5.36,47.9
Ubisoft,416,149,231,3153.36,46.0
Electronic Arts,399,140,253,4586.9,44.5
Choice of Games,393,183,33,5.94,36.6
"NIS America, Inc.",375,66,280,12.77,41.2
BANDAI NAMCO Entertainment,367,61,297,1093.66,41.3
Milestone S.r.l.,354,41,306,9.61,48.7
Nacon,345,120,213,582.77,38.6
2K,325,81,234,15.64,60.5
D3 PUBLISHER,316,0,316,1.84,
Aerosoft GmbH,306,52,253,21.23,27.9
Activision,306,68,229,3111.99,52.9
Dovetail Games,302,5,297,12.99,525.0
Focus Entertainment,295,71,202,16.05,37.8
Shanghai SilverMoon Network Technology Co.Ltd,285,2,283,4.92,
Pixel Puzzles,278,17,261,5.85,304.6
8floor,277,268,4,7.0,22.3
Plug In Digital,273,163,80,192.74,28.5
Feral Interactive (Mac),272,37,235,3.73,91.3
Sekai Project,271,168,26,894.85,21.2
PQube,269,82,155,11.14,31.6
Devolver Digital,264,148,44,18.1,31.4
Hosted Games,263,126,18,6.46,39.5
Slitherine Ltd.,247,80,160,17.31,49.2
indie.io,243,168,15,8.13,29.7
KEMCO,242,85,147,8.46,29.9
IR Studio,240,81,85,0.54,35.2
Xbox Game Studios,238,69,151,603.32,91.3
Laush Studio,236,171,62,1.6,62.0
PLAYISM,230,138,32,11.58,29.3
Daedalic Entertainment,225,100,72,3.76,33.9
Do Games Limited,221,95,48,6.82,35.8
Kagura Games,218,198,17,9.78,36.0
Idea Factory International,215,34,181,795.2,37.4
Dovetail Games - Flight,214,0,214,1691.56,
Feral Interactive (Linux),211,24,187,3.94,113.8
Rebellion,208,41,167,2603.37,48.4
tinyBuild,207,105,44,11.79,32.9
EroticGamesClub,207,207,0,2.77,2.4
Bandai Namco Entertainment,205,37,162,4600.84,41.3
Boogygames Studios,199,154,45,4.39,21.8
Microids,193,123,54,21.43,28.7
Fulqrum Publishing,192,126,45,9.21,48.6
Reddiamondgames,191,22,169,0.88,25.6
Strategy First,188,179,7,8.58,27.0
HH-Games,186,186,0,6.89,15.7
Hede,184,184,0,138.01,5.7
Raw Fury,184,62,69,9.72,32.4
Team17,181,65,86,23.07,44.1
Conglomerate 5,179,178,0,2.32,18.8
Flat Cat Games,179,12,166,1.57,35.0
Gamersky Games,171,110,33,8.07,40.5
Shiravune,167,123,25,17.38,27.7
Bethesda Softworks,167,72,72,16.74,50.3
Dharker Studios,163,61,100,5.06,13.8
Gaijin Network Ltd,162,10,146,30.57,77.5
SA Industry,162,127,31,1.39,55.7
Deep Silver,160,37,111,18.86,50.6
ToastieLabs,158,9,143,102.25,409.3
Capcom,153,27,126,8.4,49.7
Dear Villagers,153,78,32,5.02,32.3
SCS Software,153,6,145,277.94,85.7
Bandai Namco Entertainment Inc.,150,25,121,579.9,36.9
My Way Games,150,143,5,7.64,15.3
Eagle Dynamics SA,150,1,149,28.09,
Phat Phrog Studios,149,13,135,2.58,161.0
505 Games,146,51,79,11.81,42.0
Iceberg Interactive,143,67,43,2561.51,34.4
DigiPen Institute of Technology,142,139,0,,12.6
Arc System Works,140,48,87,19.33,35.0
Headup,140,69,32,8.84,34.1
GrabTheGames,139,113,4,7.43,27.1
Mango Party,139,91,19,27.28,30.8
Gamesforgames,138,131,7,6.4,10.3
PsychoFlux Entertainment,137,77,16,206.31,19.7
Games For Pleasure,134,13,119,12.96,432.7
100 Cozy Games,133,51,54,12.08,96.6
Alawar Casual,131,131,0,3.45,36.2
Ziggurat,128,124,2,8.52,28.2
Gamirror Games,123,105,7,11.94,35.7
Stegalosaurus Game Development,122,50,72,4.85,27.2
QubicGames,122,43,79,3.5,26.2
2P Games,121,79,24,7.75,43.7
S-court,121,1,120,20.39,
