release_year,total_games,games_with_achievements,pct_with_achievements,avg_achievements_per_game
1997.0,2,1,50.0,27.0
1998.0,1,0,0.0,
1999.0,2,0,0.0,
2000.0,2,0,0.0,
2001.0,4,0,0.0,
2002.0,1,0,0.0,
2003.0,3,0,0.0,
2004.0,5,2,40.0,108.0
2005.0,7,0,0.0,
2006.0,63,5,7.94,29.0
2007.0,84,7,8.33,91.0
2008.0,151,32,21.19,26.8
2009.0,307,47,15.31,46.1
2010.0,240,100,41.67,39.4
2011.0,252,140,55.56,49.0
2012.0,320,218,68.13,42.6
2013.0,464,312,67.24,55.2
2014.0,1515,863,56.96,36.7
2015.0,2502,1563,62.47,31.4
2016.0,4141,2461,59.43,32.3
2017.0,5926,3344,56.43,98.4
2018.0,7438,4089,54.97,100.8
2019.0,7254,3843,52.98,28.4
2020.0,8791,4666,53.08,27.3
2021.0,11066,5468,49.41,25.7
2022.0,12311,5944,48.28,25.4
2023.0,14664,7134,48.65,25.6
2024.0,20203,10292,50.94,24.2
2025.0,17876,8013,44.83,24.0
